city,date,year,month,day,day_of_year,tmax,tmin,humidity,precipitation,pressure,wind_speed
Bangalore,2009-01-30,2009,1,30,30,23.87,15.6,64.7,0.0,913.3,11.9
Bangalore,2009-01-31,2009,1,31,31,21.47,14.44,61.9,0.0,909.7,9.8
Bangalore,2009-02-01,2009,2,1,32,23.36,14.65,72.8,0.0,920.2,10.2
Bangalore,2009-02-02,2009,2,2,33,20.82,14.34,63.8,4.15,914.9,9.8
Bangalore,2009-02-03,2009,2,3,34,24.13,13.9,72.4,0.0,910.7,11.7
Bangalore,2009-02-04,2009,2,4,35,23.42,13.01,69.4,0.0,913.2,10.5
Bangalore,2009-02-05,2009,2,5,36,21.98,15.83,68.7,0.0,915.2,12.1
Bangalore,2009-02-06,2009,2,6,37,21.21,13.5,70.9,0.0,913.5,10.0
Bangalore,2009-02-07,2009,2,7,38,24.68,16.42,68.3,0.0,914.9,11.3
Bangalore,2009-02-08,2009,2,8,39,22.99,15.67,64.4,0.0,911.3,9.9
Bangalore,2009-02-09,2009,2,9,40,22.75,12.68,70.0,0.0,910.6,12.2
Bangalore,2009-02-10,2009,2,10,41,23.74,13.6,64.5,0.0,914.0,14.8
Bangalore,2009-02-11,2009,2,11,42,26.51,16.59,72.2,0.0,905.9,10.4
Bangalore,2009-02-12,2009,2,12,43,22.84,16.05,64.0,13.15,911.7,11.0
Bangalore,2009-02-13,2009,2,13,44,25.23,13.66,66.2,0.0,913.0,6.8
Bangalore,2009-02-14,2009,2,14,45,25.45,16.69,69.7,0.0,917.0,7.0
Bangalore,2009-02-15,2009,2,15,46,23.41,16.76,64.2,0.49,913.3,11.5
Bangalore,2009-02-16,2009,2,16,47,22.84,15.24,51.5,0.0,908.9,6.0
Bangalore,2009-02-17,2009,2,17,48,22.39,17.23,74.2,1.88,912.2,14.7
Bangalore,2009-02-18,2009,2,18,49,25.05,16.55,66.5,0.0,912.2,10.2
Bangalore,2009-02-19,2009,2,19,50,25.54,17.43,61.3,0.0,914.1,10.1
Bangalore,2009-02-20,2009,2,20,51,25.31,15.48,65.0,0.0,912.6,8.8
Bangalore,2009-02-21,2009,2,21,52,26.03,16.11,63.9,0.0,913.1,11.2
Bangalore,2009-02-22,2009,2,22,53,23.92,16.81,70.0,0.0,909.9,10.0
Bangalore,2009-02-23,2009,2,23,54,25.15,17.37,64.2,0.0,916.7,9.1
Bangalore,2009-02-24,2009,2,24,55,24.47,16.23,67.1,0.0,914.8,11.4
Bangalore,2009-02-25,2009,2,25,56,24.72,16.38,66.4,0.0,917.7,12.1
Bangalore,2009-02-26,2009,2,26,57,22.61,15.54,73.0,0.0,908.4,11.2
Bangalore,2009-02-27,2009,2,27,58,26.35,16.14,62.4,3.19,914.9,9.7
Bangalore,2009-02-28,2009,2,28,59,24.29,15.85,68.8,0.0,910.3,9.1
Bangalore,2009-03-01,2009,3,1,60,25.94,16.98,71.1,0.0,907.7,7.2
Bangalore,2009-03-02,2009,3,2,61,24.67,16.14,68.2,0.0,916.4,9.4
Bangalore,2009-03-03,2009,3,3,62,25.86,15.66,66.3,0.0,913.0,8.3
Bangalore,2009-03-04,2009,3,4,63,26.76,18.4,65.9,0.0,913.2,9.3
Bangalore,2009-03-05,2009,3,5,64,26.78,16.72,71.3,0.0,912.3,8.5
Bangalore,2009-03-06,2009,3,6,65,26.25,17.32,73.5,0.0,914.9,12.4
Bangalore,2009-03-07,2009,3,7,66,29.05,16.67,71.1,0.0,909.5,8.8
Bangalore,2009-03-08,2009,3,8,67,23.26,16.26,62.3,0.0,912.5,6.2
Bangalore,2009-03-09,2009,3,9,68,27.11,17.66,70.9,0.0,908.0,13.7
Bangalore,2009-03-10,2009,3,10,69,28.45,16.5,57.4,0.0,916.1,10.6
Bangalore,2009-03-11,2009,3,11,70,27.22,14.2,61.3,0.0,912.0,10.1
Bangalore,2009-03-12,2009,3,12,71,26.24,17.98,60.4,0.0,911.6,7.3
Bangalore,2009-03-13,2009,3,13,72,27.84,18.59,73.4,0.0,913.0,8.5
Bangalore,2009-03-14,2009,3,14,73,29.49,17.54,71.5,0.0,912.2,12.1
Bangalore,2009-03-15,2009,3,15,74,27.53,16.26,64.2,5.63,916.5,11.8
Bangalore,2009-03-16,2009,3,16,75,26.75,17.16,56.8,0.0,916.3,9.5
Bangalore,2009-03-17,2009,3,17,76,28.59,19.46,65.7,0.0,914.9,10.7
Bangalore,2009-03-18,2009,3,18,77,27.62,18.7,63.9,0.0,907.0,5.9
Bangalore,2009-03-19,2009,3,19,78,27.63,16.26,68.5,0.55,913.1,8.1
Bangalore,2009-03-20,2009,3,20,79,27.11,16.64,64.8,0.0,914.9,9.1
Bangalore,2009-03-21,2009,3,21,80,27.29,17.02,62.2,0.0,911.7,7.9
Bangalore,2009-03-22,2009,3,22,81,27.29,16.65,74.7,6.43,912.1,8.6
Bangalore,2009-03-23,2009,3,23,82,28.56,18.04,63.7,0.0,909.8,11.2
Bangalore,2009-03-24,2009,3,24,83,27.54,16.78,76.6,0.0,911.1,13.3
Bangalore,2009-03-25,2009,3,25,84,28.11,19.04,66.2,0.0,909.1,10.2
Bangalore,2009-03-26,2009,3,26,85,30.89,15.48,60.5,0.0,909.3,8.7
Bangalore,2009-03-27,2009,3,27,86,27.1,20.54,68.9,0.0,909.4,10.0
Bangalore,2009-03-28,2009,3,28,87,32.4,19.82,62.2,0.0,916.7,8.2
Bangalore,2009-03-29,2009,3,29,88,26.89,19.8,73.9,0.0,912.1,10.3
Bangalore,2009-03-30,2009,3,30,89,28.54,18.49,61.9,0.0,910.1,8.8
Bangalore,2009-03-31,2009,3,31,90,27.9,18.91,60.0,0.0,913.2,9.8
Bangalore,2009-04-01,2009,4,1,91,29.67,19.27,60.4,0.0,910.4,10.2
Bangalore,2009-04-02,2009,4,2,92,30.56,17.02,66.7,0.0,910.3,8.0
Bangalore,2009-04-03,2009,4,3,93,29.97,15.82,61.6,0.0,911.1,11.3
Bangalore,2009-04-04,2009,4,4,94,27.18,19.11,57.8,0.0,911.6,9.2
Bangalore,2009-04-05,2009,4,5,95,28.88,20.19,69.3,0.0,914.3,5.1
Bangalore,2009-04-06,2009,4,6,96,28.71,20.05,62.6,0.0,912.5,10.2
Bangalore,2009-04-07,2009,4,7,97,30.75,21.34,63.0,0.0,912.3,9.0
Bangalore,2009-04-08,2009,4,8,98,29.49,20.0,61.4,0.0,905.4,10.7
Bangalore,2009-04-09,2009,4,9,99,29.84,20.74,62.1,0.0,915.9,6.3
Bangalore,2009-04-10,2009,4,10,100,29.84,19.71,71.7,0.0,911.3,11.6
Bangalore,2009-04-11,2009,4,11,101,31.81,19.88,58.8,0.0,912.9,7.0
Bangalore,2009-04-12,2009,4,12,102,32.3,20.25,61.1,0.0,914.9,10.2
Bangalore,2009-04-13,2009,4,13,103,29.97,20.41,57.6,0.0,909.5,10.1
Bangalore,2009-04-14,2009,4,14,104,30.09,20.58,64.7,0.0,915.9,9.1
Bangalore,2009-04-15,2009,4,15,105,30.28,19.42,67.7,0.0,914.9,10.8
Bangalore,2009-04-16,2009,4,16,106,33.84,19.24,56.6,0.0,912.5,11.7
Bangalore,2009-04-17,2009,4,17,107,29.8,17.45,63.7,0.0,919.9,10.2
Bangalore,2009-04-18,2009,4,18,108,32.33,20.89,63.8,0.0,912.8,7.7
Bangalore,2009-04-19,2009,4,19,109,29.34,22.66,63.5,0.0,912.3,8.0
Bangalore,2009-04-20,2009,4,20,110,31.27,20.54,68.0,0.0,910.2,9.7
Bangalore,2009-04-21,2009,4,21,111,33.17,19.84,66.7,0.0,905.0,7.4
Bangalore,2009-04-22,2009,4,22,112,29.72,20.21,70.7,0.0,908.6,9.7
Bangalore,2009-04-23,2009,4,23,113,31.76,19.11,66.3,0.0,911.5,13.7
Bangalore,2009-04-24,2009,4,24,114,33.56,20.44,56.7,0.0,912.0,10.3
Bangalore,2009-04-25,2009,4,25,115,30.95,21.01,58.3,0.0,914.0,8.9
Bangalore,2009-04-26,2009,4,26,116,31.25,20.86,59.4,0.0,916.2,4.7
Bangalore,2009-04-27,2009,4,27,117,29.05,19.48,56.1,0.0,912.6,7.2
Bangalore,2009-04-28,2009,4,28,118,31.09,19.71,70.7,0.68,914.8,12.5
Bangalore,2009-04-29,2009,4,29,119,33.44,19.76,59.3,0.0,913.5,9.3
Bangalore,2009-04-30,2009,4,30,120,32.1,22.15,57.1,0.0,910.9,12.3
Bangalore,2009-05-01,2009,5,1,121,30.92,21.98,64.7,0.36,911.1,10.7
Bangalore,2009-05-02,2009,5,2,122,30.75,22.42,60.8,0.0,908.3,8.4
Bangalore,2009-05-03,2009,5,3,123,34.69,19.27,65.4,0.0,907.8,5.8
Bangalore,2009-05-04,2009,5,4,124,35.35,21.69,61.1,0.0,914.9,9.9
Bangalore,2009-05-05,2009,5,5,125,32.39,23.11,72.3,0.0,914.0,10.3
Bangalore,2009-05-06,2009,5,6,126,32.71,21.58,63.2,0.0,907.1,11.1
Bangalore,2009-05-07,2009,5,7,127,36.07,22.48,59.0,0.59,913.6,13.2
Bangalore,2009-05-08,2009,5,8,128,35.5,20.47,63.9,0.0,906.5,7.4
Bangalore,2009-05-09,2009,5,9,129,32.29,21.77,63.9,0.0,909.8,7.1
Bangalore,2009-05-10,2009,5,10,130,34.18,19.96,57.2,0.0,909.1,12.1
Bangalore,2009-05-11,2009,5,11,131,31.96,25.01,63.6,0.0,912.6,11.2
Bangalore,2009-05-12,2009,5,12,132,31.18,21.9,57.8,0.0,915.4,8.6
Bangalore,2009-05-13,2009,5,13,133,33.48,24.08,57.9,0.0,917.4,11.0
Bangalore,2009-05-14,2009,5,14,134,34.41,20.7,65.6,0.0,909.8,9.5
Bangalore,2009-05-15,2009,5,15,135,33.57,22.8,61.8,0.0,908.0,11.6
Bangalore,2009-05-16,2009,5,16,136,34.68,23.65,66.2,0.0,911.8,6.7
Bangalore,2009-05-17,2009,5,17,137,34.46,22.41,62.2,0.0,908.2,10.9
Bangalore,2009-05-18,2009,5,18,138,33.56,23.56,60.4,0.0,914.8,9.0
Bangalore,2009-05-19,2009,5,19,139,34.09,21.69,58.6,4.77,911.1,12.5
Bangalore,2009-05-20,2009,5,20,140,32.67,22.07,58.5,0.0,910.0,12.1
Bangalore,2009-05-21,2009,5,21,141,35.37,22.68,53.9,8.16,913.8,11.4
Bangalore,2009-05-22,2009,5,22,142,34.2,23.85,57.2,0.0,918.9,9.3
Bangalore,2009-05-23,2009,5,23,143,33.52,24.16,68.5,0.0,910.4,9.4
Bangalore,2009-05-24,2009,5,24,144,33.04,21.25,55.3,0.0,911.9,10.5
Bangalore,2009-05-25,2009,5,25,145,36.62,21.3,65.4,0.0,911.4,14.6
Bangalore,2009-05-26,2009,5,26,146,33.35,23.94,68.6,0.0,910.1,8.9
Bangalore,2009-05-27,2009,5,27,147,33.46,21.9,57.2,13.91,915.6,12.8
Bangalore,2009-05-28,2009,5,28,148,33.59,21.61,62.8,0.0,909.9,8.6
Bangalore,2009-05-29,2009,5,29,149,38.03,23.76,56.2,0.0,912.5,8.8
Bangalore,2009-05-30,2009,5,30,150,33.96,23.01,62.0,0.0,909.4,10.2
Bangalore,2009-05-31,2009,5,31,151,31.96,21.19,64.7,0.0,909.1,9.0
Bangalore,2009-06-01,2009,6,1,152,34.95,22.71,86.2,0.0,908.5,17.1
Bangalore,2009-06-02,2009,6,2,153,35.68,24.97,83.2,0.0,908.9,16.6
Bangalore,2009-06-03,2009,6,3,154,35.45,24.06,86.1,0.0,909.5,15.3
Bangalore,2009-06-04,2009,6,4,155,36.54,21.83,82.0,0.0,908.8,15.4
Bangalore,2009-06-05,2009,6,5,156,34.83,21.2,83.9,0.0,909.1,15.4
Bangalore,2009-06-06,2009,6,6,157,35.16,24.74,79.7,0.0,910.8,14.1
Bangalore,2009-06-07,2009,6,7,158,35.11,24.16,75.0,10.47,913.6,12.0
Bangalore,2009-06-08,2009,6,8,159,34.01,23.34,87.9,0.0,909.8,12.1
Bangalore,2009-06-09,2009,6,9,160,31.57,23.43,77.6,0.0,910.7,13.9
Bangalore,2009-06-10,2009,6,10,161,32.97,23.97,83.3,12.21,909.7,11.9
Bangalore,2009-06-11,2009,6,11,162,33.87,22.88,81.3,0.0,906.2,17.9
Bangalore,2009-06-12,2009,6,12,163,34.81,24.29,81.8,0.0,911.4,16.3
Bangalore,2009-06-13,2009,6,13,164,36.94,23.2,83.6,0.0,908.0,18.6
Bangalore,2009-06-14,2009,6,14,165,34.9,21.25,80.7,19.17,908.0,14.1
Bangalore,2009-06-15,2009,6,15,166,32.14,22.44,67.9,0.0,912.4,15.9
Bangalore,2009-06-16,2009,6,16,167,33.53,22.93,80.0,0.0,906.5,14.6
Bangalore,2009-06-17,2009,6,17,168,35.03,23.24,69.8,5.18,907.0,14.4
Bangalore,2009-06-18,2009,6,18,169,37.69,23.77,77.1,1.33,911.7,17.8
Bangalore,2009-06-19,2009,6,19,170,36.39,23.07,76.8,0.0,912.7,16.3
Bangalore,2009-06-20,2009,6,20,171,36.57,22.36,86.6,0.0,910.6,18.5
Bangalore,2009-06-21,2009,6,21,172,35.3,22.22,77.6,0.0,911.6,13.9
Bangalore,2009-06-22,2009,6,22,173,34.96,25.57,88.6,67.3,911.3,15.1
Bangalore,2009-06-23,2009,6,23,174,35.17,23.73,74.9,0.37,909.2,11.7
Bangalore,2009-06-24,2009,6,24,175,35.58,23.77,77.6,5.56,914.7,15.4
Bangalore,2009-06-25,2009,6,25,176,36.55,25.0,77.7,0.0,909.5,16.8
Bangalore,2009-06-26,2009,6,26,177,35.94,21.08,87.4,0.0,914.1,16.0
Bangalore,2009-06-27,2009,6,27,178,35.34,22.31,76.7,0.0,909.9,17.3
Bangalore,2009-06-28,2009,6,28,179,35.75,22.51,83.9,10.79,901.5,14.3
Bangalore,2009-06-29,2009,6,29,180,33.24,21.39,85.9,0.0,909.9,16.0
Bangalore,2009-06-30,2009,6,30,181,35.02,21.39,85.1,3.43,908.5,18.0
Bangalore,2009-07-01,2009,7,1,182,36.16,22.5,78.3,16.0,909.0,19.2
Bangalore,2009-07-02,2009,7,2,183,35.43,23.41,85.3,1.42,910.7,14.9
Bangalore,2009-07-03,2009,7,3,184,34.78,23.75,80.4,1.56,912.2,14.8
Bangalore,2009-07-04,2009,7,4,185,34.92,20.46,84.7,0.0,911.0,19.2
Bangalore,2009-07-05,2009,7,5,186,34.57,24.17,75.0,13.43,908.1,18.8
Bangalore,2009-07-06,2009,7,6,187,34.46,23.08,84.5,0.0,911.5,19.8
Bangalore,2009-07-07,2009,7,7,188,34.62,23.03,85.5,32.07,913.3,17.4
Bangalore,2009-07-08,2009,7,8,189,35.63,21.4,88.4,12.87,906.6,14.9
Bangalore,2009-07-09,2009,7,9,190,35.13,23.13,82.4,0.0,909.3,16.9
Bangalore,2009-07-10,2009,7,10,191,36.38,21.24,83.3,0.0,912.1,14.7
Bangalore,2009-07-11,2009,7,11,192,34.75,22.48,80.4,5.48,914.8,13.3
Bangalore,2009-07-12,2009,7,12,193,33.03,20.07,77.2,0.91,906.0,18.3
Bangalore,2009-07-13,2009,7,13,194,35.98,21.8,91.6,23.88,902.5,19.6
Bangalore,2009-07-14,2009,7,14,195,32.34,20.61,85.5,0.0,917.3,16.2
Bangalore,2009-07-15,2009,7,15,196,35.65,23.46,81.9,31.41,907.7,14.4
Bangalore,2009-07-16,2009,7,16,197,31.78,22.4,75.5,0.0,906.7,16.8
Bangalore,2009-07-17,2009,7,17,198,31.92,21.29,85.2,1.56,911.7,13.1
Bangalore,2009-07-18,2009,7,18,199,34.37,20.84,77.6,0.0,911.0,15.0
Bangalore,2009-07-19,2009,7,19,200,34.99,22.67,87.4,12.03,910.4,16.1
Bangalore,2009-07-20,2009,7,20,201,34.18,22.41,77.1,0.0,908.0,12.5
Bangalore,2009-07-21,2009,7,21,202,33.0,21.45,85.2,0.0,908.0,15.6
Bangalore,2009-07-22,2009,7,22,203,32.73,24.85,74.8,0.0,910.9,14.6
Bangalore,2009-07-23,2009,7,23,204,33.72,22.28,80.0,0.0,908.3,12.3
Bangalore,2009-07-24,2009,7,24,205,33.72,25.28,76.8,15.17,914.9,16.1
Bangalore,2009-07-25,2009,7,25,206,36.23,21.68,79.9,26.95,908.3,13.0
Bangalore,2009-07-26,2009,7,26,207,32.74,20.61,81.1,19.33,907.7,15.5
Bangalore,2009-07-27,2009,7,27,208,31.31,22.43,85.1,0.0,913.7,12.6
Bangalore,2009-07-28,2009,7,28,209,36.08,22.48,77.5,0.0,909.8,16.1
Bangalore,2009-07-29,2009,7,29,210,32.12,22.13,74.0,7.18,907.8,17.5
Bangalore,2009-07-30,2009,7,30,211,35.06,22.61,75.7,0.0,909.1,17.4
Bangalore,2009-07-31,2009,7,31,212,33.56,24.6,83.1,16.89,910.4,14.7
Bangalore,2009-08-01,2009,8,1,213,34.33,22.91,77.3,33.17,906.0,11.3
Bangalore,2009-08-02,2009,8,2,214,33.95,20.38,70.5,0.0,910.0,16.7
Bangalore,2009-08-03,2009,8,3,215,33.23,21.53,85.9,0.0,909.1,13.7
Bangalore,2009-08-04,2009,8,4,216,34.51,21.38,77.6,14.25,910.1,15.0
Bangalore,2009-08-05,2009,8,5,217,34.57,22.1,81.3,0.0,912.5,15.0
Bangalore,2009-08-06,2009,8,6,218,30.89,20.19,80.0,0.85,910.2,16.1
Bangalore,2009-08-07,2009,8,7,219,32.66,21.99,81.9,1.34,904.1,12.6
Bangalore,2009-08-08,2009,8,8,220,33.58,23.18,87.8,0.76,909.4,18.0
Bangalore,2009-08-09,2009,8,9,221,32.81,20.87,78.7,2.85,909.1,11.9
Bangalore,2009-08-10,2009,8,10,222,33.86,21.81,93.2,1.68,909.6,17.0
Bangalore,2009-08-11,2009,8,11,223,31.64,19.74,87.9,0.0,909.1,14.9
Bangalore,2009-08-12,2009,8,12,224,32.05,20.61,81.8,17.14,910.3,12.8
Bangalore,2009-08-13,2009,8,13,225,30.72,20.97,72.2,0.0,916.2,12.6
Bangalore,2009-08-14,2009,8,14,226,32.05,22.34,77.7,0.0,907.4,10.4
Bangalore,2009-08-15,2009,8,15,227,32.44,21.12,87.8,3.53,906.6,14.8
Bangalore,2009-08-16,2009,8,16,228,33.3,22.49,88.3,0.0,908.1,15.3
Bangalore,2009-08-17,2009,8,17,229,30.03,20.8,82.7,0.35,915.2,14.3
Bangalore,2009-08-18,2009,8,18,230,31.99,19.04,77.5,17.88,906.9,16.1
Bangalore,2009-08-19,2009,8,19,231,33.39,21.44,87.4,0.0,907.7,14.4
Bangalore,2009-08-20,2009,8,20,232,31.13,22.1,85.3,0.0,908.1,16.9
Bangalore,2009-08-21,2009,8,21,233,31.49,20.75,90.2,0.0,911.5,14.3
Bangalore,2009-08-22,2009,8,22,234,30.04,19.1,72.8,11.39,909.3,14.4
Bangalore,2009-08-23,2009,8,23,235,31.65,21.26,87.0,0.0,908.3,14.7
Bangalore,2009-08-24,2009,8,24,236,31.51,19.9,90.8,0.0,912.0,17.3
Bangalore,2009-08-25,2009,8,25,237,31.25,18.57,84.9,0.0,908.0,17.5
Bangalore,2009-08-26,2009,8,26,238,30.9,20.42,91.5,0.0,911.7,11.5
Bangalore,2009-08-27,2009,8,27,239,31.89,20.43,89.5,7.43,912.0,14.6
Bangalore,2009-08-28,2009,8,28,240,29.37,19.19,86.1,0.0,906.4,15.9
Bangalore,2009-08-29,2009,8,29,241,32.33,19.08,82.5,5.48,910.0,12.1
Bangalore,2009-08-30,2009,8,30,242,28.76,19.18,79.2,0.0,907.5,10.8
Bangalore,2009-08-31,2009,8,31,243,31.19,20.05,74.9,14.27,914.4,17.3
Bangalore,2009-09-01,2009,9,1,244,29.33,19.78,79.3,0.0,910.4,13.6
Bangalore,2009-09-02,2009,9,2,245,32.87,21.75,91.7,0.0,912.9,15.0
Bangalore,2009-09-03,2009,9,3,246,31.93,20.74,80.4,0.0,901.7,16.6
Bangalore,2009-09-04,2009,9,4,247,29.2,18.26,79.5,10.94,909.6,15.4
Bangalore,2009-09-05,2009,9,5,248,30.59,21.47,78.4,0.0,913.4,14.4
Bangalore,2009-09-06,2009,9,6,249,31.41,16.83,77.6,4.89,911.0,13.9
Bangalore,2009-09-07,2009,9,7,250,30.65,16.79,84.8,0.0,913.1,14.6
Bangalore,2009-09-08,2009,9,8,251,28.82,19.47,83.1,0.0,914.2,15.4
Bangalore,2009-09-09,2009,9,9,252,28.69,15.45,83.3,0.0,911.1,12.8
Bangalore,2009-09-10,2009,9,10,253,29.73,18.13,86.0,0.7,910.4,13.0
Bangalore,2009-09-11,2009,9,11,254,27.68,19.16,83.2,3.81,909.1,18.1
Bangalore,2009-09-12,2009,9,12,255,28.11,18.63,84.9,5.12,906.6,15.5
Bangalore,2009-09-13,2009,9,13,256,28.91,19.4,84.9,6.51,912.7,13.2
Bangalore,2009-09-14,2009,9,14,257,27.0,19.15,77.9,0.0,917.2,13.4
Bangalore,2009-09-15,2009,9,15,258,28.07,17.87,81.9,22.81,913.1,20.3
Bangalore,2009-09-16,2009,9,16,259,27.98,18.48,86.6,7.36,915.4,12.5
Bangalore,2009-09-17,2009,9,17,260,28.21,17.68,94.8,12.63,907.9,15.1
Bangalore,2009-09-18,2009,9,18,261,30.28,18.2,81.6,0.0,909.8,13.6
Bangalore,2009-09-19,2009,9,19,262,27.29,19.44,81.1,0.0,908.9,16.0
Bangalore,2009-09-20,2009,9,20,263,28.42,17.92,84.7,0.0,907.8,13.1
Bangalore,2009-09-21,2009,9,21,264,27.81,19.12,87.7,17.93,904.5,15.4
Bangalore,2009-09-22,2009,9,22,265,28.24,19.43,91.2,29.59,911.6,12.6
Bangalore,2009-09-23,2009,9,23,266,27.76,18.88,88.6,23.35,909.2,16.0
Bangalore,2009-09-24,2009,9,24,267,26.64,16.99,86.9,6.96,912.3,13.5
Bangalore,2009-09-25,2009,9,25,268,27.64,17.76,86.7,0.0,910.8,14.9
Bangalore,2009-09-26,2009,9,26,269,28.94,19.16,79.6,9.85,909.2,18.6
Bangalore,2009-09-27,2009,9,27,270,27.43,16.39,88.6,0.0,915.4,15.7
Bangalore,2009-09-28,2009,9,28,271,26.52,14.92,84.9,8.18,913.9,14.0
Bangalore,2009-09-29,2009,9,29,272,28.35,17.84,81.6,0.0,908.3,14.2
Bangalore,2009-09-30,2009,9,30,273,25.75,14.67,89.7,0.0,913.8,14.8
Bangalore,2009-10-01,2009,10,1,274,28.46,17.06,66.7,0.0,908.5,12.4
Bangalore,2009-10-02,2009,10,2,275,25.81,17.17,67.5,0.0,911.2,9.0
Bangalore,2009-10-03,2009,10,3,276,27.55,18.5,71.2,0.0,909.0,8.6
Bangalore,2009-10-04,2009,10,4,277,27.04,16.98,68.0,0.0,913.5,7.6
Bangalore,2009-10-05,2009,10,5,278,27.41,17.01,69.6,0.0,911.6,8.1
Bangalore,2009-10-06,2009,10,6,279,27.7,16.45,55.5,0.0,914.5,9.6
Bangalore,2009-10-07,2009,10,7,280,24.51,16.25,68.6,0.0,913.5,9.5
Bangalore,2009-10-08,2009,10,8,281,26.92,17.17,61.9,0.0,915.3,11.3
Bangalore,2009-10-09,2009,10,9,282,25.11,16.76,63.4,0.0,911.3,9.3
Bangalore,2009-10-10,2009,10,10,283,25.55,15.91,70.7,0.0,907.2,12.1
Bangalore,2009-10-11,2009,10,11,284,24.17,16.71,71.3,0.0,911.7,9.7
Bangalore,2009-10-12,2009,10,12,285,25.46,17.51,62.3,0.0,912.7,10.5
Bangalore,2009-10-13,2009,10,13,286,26.21,16.82,80.4,0.0,910.0,6.3
Bangalore,2009-10-14,2009,10,14,287,25.9,17.6,66.4,0.0,914.9,12.4
Bangalore,2009-10-15,2009,10,15,288,27.65,14.66,71.0,0.0,911.3,8.3
Bangalore,2009-10-16,2009,10,16,289,28.17,15.59,67.8,0.0,913.7,14.6
Bangalore,2009-10-17,2009,10,17,290,24.97,15.59,66.4,0.0,910.2,9.9
Bangalore,2009-10-18,2009,10,18,291,24.06,14.81,60.3,0.0,911.8,8.2
Bangalore,2009-10-19,2009,10,19,292,23.59,15.32,67.5,0.99,915.3,8.8
Bangalore,2009-10-20,2009,10,20,293,25.21,18.77,69.4,0.0,911.5,10.4
Bangalore,2009-10-21,2009,10,21,294,23.26,15.04,63.6,0.0,911.9,12.2
Bangalore,2009-10-22,2009,10,22,295,23.69,14.56,60.8,0.0,906.4,10.5
Bangalore,2009-10-23,2009,10,23,296,24.95,13.38,72.2,0.0,912.4,8.8
Bangalore,2009-10-24,2009,10,24,297,23.02,15.61,63.6,0.0,905.4,9.6
Bangalore,2009-10-25,2009,10,25,298,22.5,14.97,68.3,0.0,913.5,9.7
Bangalore,2009-10-26,2009,10,26,299,25.73,16.45,73.8,4.04,906.8,10.4
Bangalore,2009-10-27,2009,10,27,300,24.93,15.45,71.2,0.0,908.6,10.2
Bangalore,2009-10-28,2009,10,28,301,23.64,14.67,67.4,0.0,906.4,6.1
Bangalore,2009-10-29,2009,10,29,302,24.7,15.88,74.6,0.0,910.1,13.6
